"","Date","COUNTY","Site.Name","LAT","LONG","Month","Year","Ozone","PM2.5"
"215",2018-01-19,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,22,49
"216",2018-01-19,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,34
"217",2018-01-19,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,52
"218",2018-01-19,"Wake","Millbrook School",35.856111,-78.574167,1,2018,32,55
"219",2018-01-20,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,8
"220",2018-01-20,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,45
"221",2018-01-20,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,28
"222",2018-01-20,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,63
"223",2018-01-20,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,36
"224",2018-01-20,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,38
"225",2018-01-20,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,6
"226",2018-01-20,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,40
"227",2018-01-20,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,32,43
"228",2018-01-20,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,21
"229",2018-01-20,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,41
"230",2018-01-20,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,51
"231",2018-01-20,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,50
"232",2018-01-21,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,44
"233",2018-01-21,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,22
"234",2018-01-21,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,48
"235",2018-01-21,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,49
"236",2018-01-21,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,34
"237",2018-01-21,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,43
"238",2018-01-21,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,36,53
"239",2018-01-21,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,35
"240",2018-01-21,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,50
"241",2018-01-21,"Wake","Millbrook School",35.856111,-78.574167,1,2018,34,51
"242",2018-01-22,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,59
"243",2018-01-22,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,40
"244",2018-01-22,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,58
"245",2018-01-22,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,52
"246",2018-01-22,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,51
"247",2018-01-22,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,57
"248",2018-01-22,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,37,57
"249",2018-01-22,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,25
